Scale,Time,Iterations
0.1,0.020481154999288265,25
0.10981963927855712,0.01456813899858389,25
0.11963927855711423,0.037748121001641266,29
0.12945891783567134,0.038905278997845016,32
0.13927855711422846,0.02725207000185037,36
0.14909819639278557,0.04656123099994147,39
0.1589178356713427,0.05765280299965525,43
0.16873747494989982,0.07489229000202613,45
0.17855711422845694,0.06750691300112521,50
0.18837675350701405,0.14296604900300736,51
0.19819639278557116,0.10377942900231574,54
0.20801603206412828,0.08262499800184742,54
0.2178356713426854,0.14012582300347276,59
0.2276553106212425,0.09103624300041702,59
0.23747494989979961,0.13283496600342914,64
0.24729458917835673,0.28411051600414794,66
0.25711422845691384,0.17616554300184362,72
0.26693386773547095,0.19302710400370415,71
0.27675350701402807,0.2833387499995297,73
0.2865731462925852,0.2565583100004005,82
0.2963927855711423,0.28487490599945886,86
0.3062124248496994,0.46809248800127534,98
0.3160320641282565,0.31679246500425506,83
0.32585170340681363,0.5750487170007546,84
0.3356713426853708,0.6092356000008294,118
0.3454909819639279,0.6130919879942667,92
0.355310621242485,0.4863139509980101,92
0.36513026052104214,0.5218625810011872,95
0.37494989979959925,0.7268683639995288,97
0.38476953907815636,0.6149265950007248,102
0.3945891783567135,0.7132811820047209,101
0.4044088176352706,0.8688033619982889,104
0.4142284569138277,0.8634889979948639,105
0.4240480961923848,0.8461059870023746,108
0.43386773547094193,1.0281275279994588,111
0.44368737474949904,1.072828534997825,113
0.45350701402805615,1.2846426920004888,116
0.46332665330661327,1.1127657550023287,117
0.4731462925851704,1.4608821909932885,134
0.4829659318637275,1.5750806760042906,137
0.4927855711422846,1.3580513869965216,123
0.5026052104208417,1.4599868820005213,124
0.5124248496993988,1.6116526070036343,128
0.522244488977956,1.4644382420010515,130
0.5320641282565131,1.7679631029968732,139
0.5418837675350702,1.9268051460021525,140
0.5517034068136273,2.621034404000966,187
0.5615230460921844,1.6669738470009179,142
0.5713426853707415,2.031357209001726,142
0.5811623246492986,2.183111332000408,143
0.5909819639278557,1.9778633489986532,144
0.6008016032064128,2.4159660439981963,147
0.61062124248497,2.4221688059988082,149
0.6204408817635271,2.1872339789988473,156
0.6302605210420842,2.8449669430046924,154
0.6400801603206413,2.7660479189944454,157
0.6498997995991984,2.816757797001628,157
0.6597194388777555,3.537740407002275,169
0.6695390781563126,2.801540622000175,169
0.6793587174348698,3.630317262999597,168
0.6891783567134269,4.022516974997416,165
0.698997995991984,3.113497547994484,168
0.7088176352705411,4.968211414001416,206
0.7186372745490982,4.166148586999043,175
0.7284569138276553,4.118572622995998,177
0.7382765531062124,4.292355363999377,175
0.7480961923847695,4.847808350001287,185
0.7579158316633267,4.157473965002282,184
0.7677354709418838,4.6868306980031775,183
0.7775551102204409,5.114278120003291,188
0.787374749498998,5.190383312998165,187
0.7971943887775551,4.990784890003852,186
0.8070140280561122,5.822530420999101,199
0.8168336673346693,5.579193710000254,192
0.8266533066132264,6.007357244001469,193
0.8364729458917836,6.327954241998668,205
0.8462925851703407,6.650745023005584,204
0.8561122244488978,6.531787236002856,205
0.8659318637274549,7.251197041994601,231
0.875751503006012,7.1203175600021495,201
0.8855711422845691,6.708479057000659,202
0.8953907815631262,7.509181328001432,222
0.9052104208416833,7.590727813003468,209
0.9150300601202405,7.301045028994849,211
0.9248496993987976,8.09311628699652,213
0.9346693386773547,8.83455375500489,222
0.9444889779559118,7.882690619000641,222
0.9543086172344689,9.439181066998572,236
0.964128256513026,8.953754114998446,221
0.9739478957915831,8.872110470001644,225
0.9837675350701403,9.4438278719972,230
0.9935871743486974,10.33147115400061,233
1.0034068136272545,9.116060602995276,231
1.0132264529058117,10.282771940997918,231
1.0230460921843687,11.45639538999967,252
1.032865731462926,10.330529261002084,254
1.0426853707414832,12.281762711005285,256
1.0525050100200402,11.238309184998798,235
1.0623246492985974,10.236462370994559,241
1.0721442885771544,12.296810350999294,240
1.0819639278557116,11.901741682995635,242
1.0917835671342686,10.992805686000793,244
1.1016032064128258,12.472263798998029,243
1.1114228456913828,12.571684850001475,247
1.12124248496994,12.887172603994259,274
1.131062124248497,15.254207302998111,274
1.1408817635270543,14.269547273994249,274
1.1507014028056113,12.829607351006416,256
1.1605210420841685,15.28433059699455,259
1.1703406813627255,14.346232121002686,260
1.1801603206412827,14.808670024001913,285
1.1899799599198397,16.338884828001028,261
1.199799599198397,15.035402277993853,261
1.209619238476954,14.482679472996097,265
1.2194388777555112,17.15460126999824,263
1.2292585170340682,16.05546363999747,282
1.2390781563126254,15.285765669999819,267
1.2488977955911824,18.625522492999153,269
1.2587174348697396,16.237568867996742,268
1.2685370741482966,16.600395454996033,275
1.2783567134268539,19.60379405799904,276
1.2881763527054109,17.217264138002065,275
1.297995991983968,18.629875129001448,295
1.307815631262525,20.719131974998163,279
1.3176352705410823,18.57921148499736,280
1.3274549098196393,18.83213436200458,292
1.3372745490981965,23.130161253997358,302
1.3470941883767535,20.970590197001002,301
1.3569138276553108,20.037545910003246,291
1.366733466933868,25.597249694998027,318
1.376553106212425,20.97837670199806,289
1.3863727454909822,21.314298366000003,296
1.3961923847695392,26.30710525700124,319
1.4060120240480964,23.636251511998125,319
1.4158316633266534,21.880123503004143,303
1.4256513026052107,25.840811737005424,300
1.4354709418837677,23.98708123099641,315
1.445290581162325,23.498088155000005,303
1.455110220440882,28.118260148003174,305
1.4649298597194391,25.266778469995188,312
1.4747494989979961,25.78672171499784,320
1.4845691382765533,28.952796289995604,313
1.4943887775551103,26.89129111499642,317
1.5042084168336676,26.21193548500014,313
1.5140280561122246,32.565884882998944,339
1.5238476953907818,29.986102379996737,348
1.5336673346693388,27.991462010999385,320
1.543486973947896,32.53635136200319,322
1.553306613226453,30.574410708999494,338
1.5631262525050102,29.93189624500519,326
